Time,Value
11/14/2016 10:04:15 PM,141
11/14/2016 10:04:30 PM,141
11/14/2016 10:04:40 PM,141
11/14/2016 10:04:45 PM,138
11/14/2016 10:04:50 PM,135
11/14/2016 10:04:55 PM,133
11/14/2016 10:05:10 PM,133
11/14/2016 10:05:15 PM,125
11/14/2016 10:05:20 PM,123
11/14/2016 10:05:25 PM,119
11/14/2016 10:05:30 PM,120
11/14/2016 10:05:40 PM,118
11/14/2016 10:05:45 PM,119
11/14/2016 10:05:50 PM,114
11/14/2016 10:05:55 PM,115
11/14/2016 10:06:00 PM,116
11/14/2016 10:06:05 PM,117
11/14/2016 10:06:15 PM,114
11/14/2016 10:06:20 PM,110
11/14/2016 10:06:25 PM,110
11/14/2016 10:06:30 PM,112
11/14/2016 10:06:35 PM,111
11/14/2016 10:06:40 PM,110
11/14/2016 10:06:45 PM,109
11/14/2016 10:06:50 PM,105
11/14/2016 10:06:55 PM,104
11/14/2016 10:07:00 PM,103
11/14/2016 10:07:05 PM,104
11/14/2016 10:07:15 PM,105
11/14/2016 10:07:30 PM,107
11/14/2016 10:07:40 PM,104
11/14/2016 10:07:45 PM,106
11/14/2016 10:07:50 PM,107
11/14/2016 10:08:00 PM,105
11/14/2016 10:08:05 PM,103
11/14/2016 10:08:10 PM,102
11/14/2016 10:08:25 PM,102
11/14/2016 10:08:30 PM,102
11/14/2016 10:08:35 PM,102
11/14/2016 10:08:45 PM,102
11/14/2016 10:09:00 PM,102
11/14/2016 10:09:10 PM,101
11/14/2016 10:09:15 PM,80
11/14/2016 10:09:20 PM,80
11/14/2016 10:09:25 PM,80
11/14/2016 10:09:30 PM,79
11/14/2016 10:09:35 PM,78
11/14/2016 10:09:40 PM,80
11/14/2016 10:09:50 PM,81
11/14/2016 10:09:55 PM,81
11/14/2016 10:10:00 PM,81
11/14/2016 10:10:15 PM,81
11/14/2016 10:10:20 PM,88
11/14/2016 10:10:30 PM,77
11/14/2016 10:10:40 PM,75
11/14/2016 10:10:50 PM,73
11/14/2016 10:11:05 PM,73
11/14/2016 10:11:20 PM,74
11/14/2016 10:11:30 PM,75
11/14/2016 10:11:45 PM,75
11/14/2016 10:11:50 PM,78
11/14/2016 10:12:00 PM,77
11/14/2016 10:12:15 PM,82
11/14/2016 10:12:20 PM,82
11/14/2016 10:12:30 PM,81
11/14/2016 10:12:40 PM,77
11/14/2016 10:12:50 PM,76
11/14/2016 10:13:00 PM,77
11/14/2016 10:13:10 PM,77
11/14/2016 10:13:20 PM,76
11/14/2016 10:13:25 PM,76
11/14/2016 10:13:30 PM,75
