time [s/256],breathing_rate [rpm](/api/datatype/33/),minute_ventilation [mL/min](/api/datatype/36/),sleep_position [NA](/api/datatype/270/),activity [g](/api/datatype/49/),heart_rate [bpm](/api/datatype/19/),cadence [spm](/api/datatype/53/)
378656745841,14,8140.6399999999994,,0.25390625,82,0
378656746097,15,8140.6399999999994,,0.19921875,86,0
378656746353,17,7596.1599999999999,,0.1953125,87,0
378656746609,18,7596.1599999999999,,0.140625,88,0
378656746865,19,8552.3199999999997,,0.0703125,88,0
378656747121,21,8552.3199999999997,,0.015625,87,0
378656747377,22,8552.3199999999997,,0.0,86,0
378656747633,23,8844.4799999999996,,0.0,86,0
378656747889,23,8844.4799999999996,,0.0234375,85,0
378656748145,23,8844.4799999999996,,0.01953125,84,0
378656748401,23,8844.4799999999996,,0.0,84,0
378656748657,23,8844.4799999999996,,0.03125,83,0
378656748913,23,8844.4799999999996,,0.0546875,83,0
378656749169,22,8499.1999999999989,,0.05078125,81,0
378656749425,21,8499.1999999999989,,0.02734375,81,0
378656749681,19,8499.1999999999989,,0.015625,79,0
378656749937,19,8499.1999999999989,,0.015625,78,0
378656750193,19,8499.1999999999989,,0.015625,77,0
378656750449,19,8313.2799999999988,,0.015625,77,0
378656750705,18,8313.2799999999988,,0.0,77,0
378656750961,18,8313.2799999999988,,0.0,77,0
378656751217,17,8273.4400000000005,,0.0,77,0
378656751473,18,8273.4400000000005,,0.0,76,0
378656751729,18,8273.4400000000005,,0.0,76,0
378656751985,18,6998.5599999999995,,0.0,75,0
378656752241,18,6998.5599999999995,,0.0,75,0
378656752497,17,6998.5599999999995,,0.0,74,0
378656752753,17,6998.5599999999995,,0.0,74,0
378656753009,17,6839.1999999999998,,0.0,75,0
378656753265,16,6839.1999999999998,,0.0,75,0
378656753521,16,6839.1999999999998,,0.015625,75,0
378656753777,16,6879.04,,0.0390625,75,0
378656754033,15,6879.04,,0.046875,76,0
378656754289,15,6879.04,,0.05859375,77,0
378656754545,15,7144.6399999999994,,0.02734375,77,0
378656754801,15,7144.6399999999994,,0.1015625,78,0
378656755057,15,7144.6399999999994,,0.15234375,79,0
378656755313,15,8897.6000000000004,,0.2734375,79,0
378656755569,16,8897.6000000000004,,0.12109375,80,0
378656755825,17,8897.6000000000004,,0.0390625,81,0
378656756081,17,8897.6000000000004,,0.03125,83,0
378656756337,17,10331.84,,0.0,84,0
378656756593,18,10331.84,,0.015625,84,0
378656756849,18,10331.84,,0.015625,84,0
378656757105,18,10331.84,,0.0234375,84,0
378656757361,18,10331.84,,0.01953125,84,0
378656757617,18,10331.84,,0.13671875,84,0
378656757873,18,10331.84,,0.1640625,85,0
378656758129,18,10331.84,,0.21484375,85,0
378656758385,18,10331.84,,0.1015625,85,0
378656758641,18,10331.84,,0.1875,85,0
378656758897,18,10331.84,,0.16015625,85,0
378656759153,18,10331.84,,0.23828125,86,0
378656759409,17,10331.84,,0.265625,88,0
378656759665,14,7489.9200000000001,,0.27734375,89,0
378656759921,12,7489.9200000000001,,0.13671875,91,0
378656760177,12,7489.9200000000001,,0.1328125,91,0
378656760433,12,7649.2799999999997,,0.234375,90,0
378656760689,13,7649.2799999999997,,0.3515625,89,0
378656760945,13,8114.0799999999999,,0.3828125,88,46
378656761201,13,8114.0799999999999,,0.375,88,68
378656761457,14,8114.0799999999999,,0.2578125,87,99
378656761713,14,7755.5199999999995,,0.1484375,87,115
378656761969,14,7755.5199999999995,,0.2265625,87,102
378656762225,14,7755.5199999999995,,0.08203125,87,84
378656762481,14,7728.96,,0.08984375,87,64
378656762737,14,7728.96,,0.13671875,87,30
378656762993,14,7728.96,,0.0625,88,0
378656763249,14,6679.8399999999992,,0.02734375,89,0
378656763505,14,6679.8399999999992,,0.125,90,0
378656763761,14,6679.8399999999992,,0.1953125,91,0
378656764017,14,6241.5999999999995,,0.30078125,91,0
378656764273,14,6241.5999999999995,,0.265625,91,34
378656764529,14,6241.5999999999995,,0.1171875,91,37
378656764785,15,9322.5599999999995,,0.04296875,90,0
378656765041,19,9322.5599999999995,,0.1328125,90,0
378656765297,21,9322.5599999999995,,0.046875,89,0
378656765553,22,9362.3999999999996,,0.12109375,89,0
378656765809,21,9362.3999999999996,,0.10546875,89,0
378656766065,21,9362.3999999999996,,0.015625,89,0
378656766321,20,9362.3999999999996,,0.0,89,0
378656766577,20,13160.48,,0.0,88,0
378656766833,20,13160.48,,0.015625,88,0
378656767089,19,13160.48,,0.0,86,0
378656767345,19,13160.48,,0.0,86,0
378656767601,19,13160.48,,0.0,86,0
378656767857,19,13160.48,,0.0,86,0
378656768113,19,13160.48,,0.015625,86,0
378656768369,19,13160.48,,0.0,85,0
378656768625,19,13160.48,,0.0,83,0
378656768881,19,13160.48,,0.0,83,0
378656769137,19,13160.48,,0.015625,82,0
378656769393,18,13160.48,,0.015625,82,0
378656769649,15,10371.68,,0.05078125,81,0
378656769905,13,10371.68,,0.17578125,80,0
378656770161,13,10371.68,,0.2421875,80,0
378656770417,14,10371.68,,0.26171875,79,0
378656770673,14,9960.0,,0.24609375,79,0
378656770929,13,9960.0,,0.06640625,81,0
378656771185,13,9960.0,,0.08203125,82,0
